trade_date,open,high,low,close,vol
20250421,5.29,5.39,5.25,5.39,41393.94
20250422,5.38,5.6,5.38,5.48,74863.03
20250423,5.49,5.55,5.45,5.49,53097.0
20250424,5.53,5.59,5.47,5.53,56032.0
20250425,5.55,5.58,5.51,5.52,41172.01
20250428,5.49,5.6,5.38,5.54,60086.14
20250429,5.53,5.66,5.52,5.62,54276.0
20250430,5.6,5.75,5.59,5.68,79630.0
20250506,5.72,5.78,5.65,5.76,56661.0
20250507,5.8,5.82,5.72,5.79,42013.25
20250508,5.75,5.81,5.72,5.79,29105.25
20250509,5.95,6.37,5.86,6.36,481348.3
20250512,6.1,6.17,5.94,6.09,309523.37
20250513,6.09,6.11,5.97,6.04,159737.29
20250514,6.05,6.07,5.93,6.0,95772.01
20250515,6.0,6.07,5.96,6.06,98994.47
20250516,6.1,6.1,5.96,5.98,89867.47
20250519,5.96,6.01,5.96,5.99,54580.0
20250520,5.99,6.07,5.98,6.05,65719.32
20250521,6.03,6.09,6.02,6.04,56045.4
20250522,6.04,6.05,5.92,6.02,61309.33
20250523,6.02,6.13,5.95,5.97,74047.01
20250526,5.95,6.03,5.88,5.97,59861.33
20250527,5.99,6.09,5.92,6.02,111897.29
20250528,6.0,6.03,5.91,5.95,61138.2
20250529,5.95,6.08,5.92,5.95,153692.3
20250530,5.95,6.07,5.95,5.98,133975.0
20250603,5.94,6.14,5.94,6.13,110395.28
20250604,6.14,6.18,6.07,6.15,82610.0
20250605,6.15,6.17,6.06,6.1,76230.0
20250606,6.1,6.15,6.07,6.14,60182.0
20250609,6.13,6.25,6.13,6.22,72684.6
20250610,6.22,6.3,6.12,6.21,77658.38
20250611,6.2,6.27,6.17,6.21,58229.0
20250612,6.22,6.22,6.12,6.16,54076.51
20250613,6.13,6.19,6.03,6.04,68784.18
20250616,6.04,6.12,5.99,6.04,59616.86
20250617,6.07,6.18,6.03,6.07,81577.39
20250618,6.06,6.06,5.96,5.96,58380.19
20250619,5.95,5.99,5.82,5.83,56242.19
20250620,5.85,5.9,5.8,5.8,47065.0
20250623,5.81,5.99,5.78,5.96,65896.0
