trade_date,open,high,low,close,vol
20250421,54.88,54.88,53.89,54.26,340943.55
20250422,54.0,54.55,53.89,54.08,233711.05
20250423,54.32,55.67,54.32,55.05,396007.23
20250424,55.17,55.17,54.22,54.45,211666.36
20250425,54.9,56.99,54.89,56.05,486824.98
20250428,56.05,56.05,55.13,55.19,221997.62
20250429,55.21,55.22,54.34,54.5,217374.17
20250430,54.4,55.13,54.3,54.44,167348.18
20250506,54.88,55.1,54.5,55.06,266810.04
20250507,56.0,56.1,54.97,55.43,266257.97
20250508,55.02,55.7,54.88,55.45,204165.72
20250509,55.39,55.39,54.68,54.89,178434.57
20250512,55.49,57.48,55.4,57.48,613487.12
20250513,58.0,58.1,56.78,56.96,338236.97
20250514,56.95,58.32,56.79,58.29,380970.6
20250515,58.03,58.42,57.28,57.43,246833.39
20250516,57.15,57.19,56.62,56.83,186262.62
20250519,56.83,56.94,56.15,56.75,143919.78
20250520,56.66,57.09,56.31,56.81,142920.53
20250521,56.54,57.06,56.51,56.66,128649.48
20250522,56.6,56.6,56.04,56.16,130733.83
20250523,56.22,57.05,56.06,56.08,215233.74
20250526,56.09,56.19,55.33,55.41,185026.31
20250527,55.43,55.53,54.9,54.95,142351.25
20250528,55.11,55.14,54.88,54.91,96506.91
20250529,54.98,55.53,54.65,55.53,143998.44
20250530,54.88,54.88,53.92,54.14,150576.25
20250603,54.06,54.38,54.0,54.14,121928.25
20250604,54.14,54.62,54.01,54.42,115984.2
20250605,54.5,54.58,54.08,54.26,156285.47
20250606,54.28,55.79,54.25,54.88,243160.57
20250609,55.07,55.6,54.8,55.17,182017.66
20250610,55.18,55.38,54.31,54.63,207078.83
20250611,54.64,55.14,54.53,55.02,156004.58
20250612,54.98,54.99,54.42,54.5,163103.25
20250613,54.31,55.22,54.0,54.41,209050.99
20250616,54.36,54.85,54.01,54.13,189961.46
20250617,54.14,54.27,53.88,53.98,132341.43
20250618,54.04,54.4,53.85,53.96,130096.0
20250619,53.95,53.97,53.24,53.4,167777.05
20250620,53.4,53.82,53.19,53.19,140224.37
20250623,52.9,52.9,52.1,52.53,217468.5
20250624,52.54,53.3,52.49,53.24,237343.45
20250625,53.24,53.69,52.83,53.61,254327.34
20250626,53.52,53.79,53.16,53.17,201586.84
20250627,53.17,53.97,53.1,53.39,240336.75
20250630,53.39,54.32,53.23,54.26,242871.23
20250701,54.03,54.49,53.93,53.98,161936.8
20250702,53.98,54.99,53.8,54.21,314323.69
20250703,54.22,54.98,54.0,54.56,263591.87
20250704,54.57,54.66,53.91,54.09,226735.94
20250707,54.09,54.98,53.93,54.3,186016.07
20250708,54.3,55.79,54.01,55.3,369202.62
20250709,55.33,55.44,54.36,54.44,265129.01
20250710,54.45,56.8,54.45,56.41,671779.33
20250711,56.18,56.52,55.72,55.72,401421.96
20250714,55.73,56.05,55.23,55.25,263069.97
20250715,55.25,55.45,54.5,55.02,245152.88
20250716,55.0,55.09,54.71,54.84,155576.74
20250717,54.89,55.33,54.72,55.15,223018.42
20250718,55.52,59.96,55.31,59.72,1178913.41
20250721,59.99,60.35,59.01,59.94,628162.66
20250722,60.4,63.05,59.9,63.05,1030836.19
20250723,63.0,63.28,61.66,61.83,682328.08
20250724,61.25,62.71,61.24,62.51,510849.5
20250725,62.58,64.64,62.57,62.98,546335.89
20250728,62.0,62.96,61.55,62.6,398068.61
20250729,62.61,63.15,61.83,61.96,307875.0
20250730,62.56,64.95,62.52,63.84,662587.11
20250731,63.8,63.8,61.82,62.31,515264.96
20250801,61.4,61.88,60.66,60.92,393958.4
20250804,60.4,60.78,59.92,60.48,255821.07
20250805,60.58,61.25,60.5,60.99,227963.21
20250806,60.99,61.36,60.57,61.08,197458.52
20250807,61.19,61.55,60.24,60.62,224056.53
20250808,60.8,61.46,60.3,60.8,209182.31
20250811,61.07,61.8,61.0,61.46,263564.26
20250812,61.08,64.49,60.9,62.9,633869.85
20250813,62.91,63.16,62.31,62.98,313200.04
20250814,62.99,63.47,62.05,62.51,306673.75
20250815,62.15,63.65,62.1,62.99,309612.11
20250818,63.05,63.7,62.63,62.71,395253.76
20250819,62.9,64.2,62.13,62.19,381996.52
20250820,62.19,63.09,61.57,63.04,337232.86
20250821,63.16,66.0,63.16,65.6,785601.88
20250822,65.85,67.48,65.41,67.17,564038.43
20250825,67.25,68.77,66.6,68.17,513981.26
20250826,68.17,70.78,67.72,69.63,556442.67
20250827,69.64,70.24,68.05,68.05,487421.53
20250828,67.84,69.15,66.5,68.13,485337.12
20250829,68.14,69.12,68.06,68.6,361429.3
20250901,68.6,69.85,68.0,69.02,403277.47
20250902,69.02,69.21,66.95,67.27,385692.19
20250903,67.27,67.96,65.9,66.89,284232.67
20250904,66.09,66.6,63.78,64.69,502025.87
20250905,64.64,66.12,64.51,65.85,324338.29
20250908,65.88,69.93,65.77,69.6,630918.66
20250909,69.65,70.2,67.82,68.52,403632.65
20250910,67.84,68.38,66.96,67.54,244392.88
20250911,67.3,68.5,66.82,68.43,319294.65
20250912,68.44,68.71,67.1,67.79,263774.07
20250915,67.79,69.09,67.5,67.74,209925.1
20250916,67.81,68.05,66.0,66.61,284113.48
20250917,66.32,67.5,66.06,67.01,212181.75
20250918,67.02,67.08,65.35,65.88,314009.89
20250919,65.66,66.52,65.31,65.31,293062.87
20250922,65.22,65.22,63.51,64.1,287562.59
20250923,64.12,64.41,62.59,63.34,268882.6
20250924,63.06,63.92,63.0,63.68,215650.93
20250925,63.66,65.35,63.55,64.56,285235.59
20250926,64.48,64.87,63.9,64.01,209298.25
20250929,64.2,66.53,63.7,65.94,329371.69
20250930,65.88,66.86,65.26,66.58,293174.11
20251009,66.58,67.85,65.3,67.73,335340.0
20251010,67.5,68.8,66.66,67.73,328917.39
20251013,65.12,66.78,64.99,66.35,306093.72
20251014,66.54,67.45,64.54,64.77,306328.49
20251015,64.7,65.56,64.07,64.75,208856.78
20251016,64.82,64.82,62.55,62.99,351123.83
20251017,62.96,63.65,61.5,61.51,301345.79
20251020,62.03,62.03,60.61,60.86,259369.26
20251021,61.09,61.55,60.6,61.18,191258.97
20251022,61.2,61.58,60.81,61.34,158524.72
20251023,61.24,62.8,60.85,62.73,225942.42
20251024,62.69,62.97,61.01,61.45,310696.41
20251027,62.0,63.3,61.81,62.49,367917.59
20251028,62.66,62.66,61.41,61.48,247704.19
20251029,61.4,62.45,61.03,61.99,269625.42
20251030,62.0,62.25,61.18,61.71,280866.99
20251031,61.88,63.33,61.87,62.63,311848.57
20251103,62.85,62.96,61.66,62.52,182917.73
20251104,62.35,62.85,61.11,61.6,189338.55
20251105,61.11,62.08,60.69,61.47,177935.6
20251106,61.3,62.45,61.3,61.7,205363.1
20251107,61.69,65.51,61.35,65.27,762160.0
20251110,66.2,68.78,66.15,67.86,786641.6
20251111,67.4,68.49,66.75,67.95,373544.69
20251112,68.0,68.5,67.23,67.77,299056.91
20251113,67.4,69.16,67.4,68.71,416458.4
20251114,67.4,68.28,65.8,65.8,504502.96
20251117,65.08,67.68,65.08,66.38,326430.84
20251118,66.4,66.76,65.02,65.4,234161.99
20251119,65.2,66.0,65.0,65.61,162992.74
20251120,65.97,66.47,64.18,64.3,207793.25
20251121,63.85,63.93,62.33,62.71,298714.74
20251124,63.43,63.65,62.26,62.79,242334.82
