ts_code,datetime,close,open,high,low,vol,amount
002022.SZ,2026-03-16 09:30:00,5.98,5.97,6.03,5.97,84300.0,504379.0
002022.SZ,2026-03-16 09:31:00,6.0,5.99,6.0,5.95,203500.0,1219081.0
002022.SZ,2026-03-16 09:32:00,6.01,6.0,6.03,6.0,232000.0,1396307.0
002022.SZ,2026-03-16 09:33:00,6.02,6.03,6.03,6.01,136600.0,823075.0
002022.SZ,2026-03-16 09:34:00,6.01,6.02,6.03,6.01,54400.0,327580.0
002022.SZ,2026-03-16 09:35:00,6.03,6.02,6.03,6.02,49900.0,300713.0
002022.SZ,2026-03-16 09:36:00,6.03,6.03,6.04,6.03,107000.0,645241.0
002022.SZ,2026-03-16 09:37:00,6.03,6.03,6.03,6.02,43900.0,264435.0
002022.SZ,2026-03-16 09:38:00,6.04,6.02,6.04,6.02,93600.0,564099.0
002022.SZ,2026-03-16 09:39:00,6.01,6.03,6.03,6.01,226100.0,1359515.0
002022.SZ,2026-03-16 09:40:00,6.04,6.03,6.05,6.03,349600.0,2110985.0
002022.SZ,2026-03-16 09:41:00,6.02,6.04,6.04,6.02,53500.0,322785.0
002022.SZ,2026-03-16 09:42:00,6.02,6.02,6.02,6.01,29700.0,178694.0
002022.SZ,2026-03-16 09:43:00,6.0,6.01,6.02,6.0,18600.0,111786.0
002022.SZ,2026-03-16 09:44:00,6.0,6.0,6.01,6.0,35300.0,211891.0
002022.SZ,2026-03-16 09:45:00,6.0,6.0,6.01,6.0,67700.0,406246.0
002022.SZ,2026-03-16 09:46:00,6.0,6.0,6.01,5.99,58600.0,351463.0
002022.SZ,2026-03-16 09:47:00,5.99,5.99,6.0,5.99,43600.0,261239.0
002022.SZ,2026-03-16 09:48:00,6.01,6.0,6.01,6.0,33600.0,201777.0
002022.SZ,2026-03-16 09:49:00,6.0,6.02,6.02,6.0,17900.0,107545.0
002022.SZ,2026-03-16 09:50:00,6.01,6.01,6.01,6.0,8600.0,51642.0
002022.SZ,2026-03-16 09:51:00,5.99,6.0,6.01,5.99,37000.0,221918.0
002022.SZ,2026-03-16 09:52:00,5.99,5.99,6.0,5.99,21800.0,130583.0
002022.SZ,2026-03-16 09:53:00,5.99,5.99,5.99,5.98,52600.0,315043.0
002022.SZ,2026-03-16 09:54:00,5.98,5.99,5.99,5.98,21900.0,130976.0
002022.SZ,2026-03-16 09:55:00,6.0,5.98,6.0,5.98,37300.0,223342.0
002022.SZ,2026-03-16 09:56:00,5.98,5.99,5.99,5.98,6300.0,37721.0
002022.SZ,2026-03-16 09:57:00,5.99,5.99,5.99,5.99,4000.0,23959.0
