ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300760.SZ,20251020,227.02,227.81,222.73,223.47,225.5,-2.03,-0.9002,62568.62,1406185.055
300760.SZ,20251021,223.47,226.95,223.24,223.57,223.47,0.1,0.0447,65198.7,1462859.764
300760.SZ,20251022,222.67,223.5,220.11,220.2,223.57,-3.37,-1.5074,60059.54,1328767.861
300760.SZ,20251023,220.31,222.18,219.02,221.8,220.2,1.6,0.7266,50167.35,1105082.596
300760.SZ,20251024,221.85,222.98,220.85,221.55,221.8,-0.25,-0.1127,43888.26,972603.189
300760.SZ,20251027,222.98,224.7,221.91,223.3,221.55,1.75,0.7899,65892.29,1470876.537
300760.SZ,20251028,223.51,226.36,222.47,225.09,223.3,1.79,0.8016,59364.99,1333788.834
300760.SZ,20251029,224.49,224.69,218.28,222.83,225.09,-2.26,-1.004,91691.27,2022219.15
300760.SZ,20251030,220.0,224.5,216.0,216.69,222.83,-6.14,-2.7555,120014.57,2636425.724
300760.SZ,20251031,215.5,216.89,212.13,215.04,216.69,-1.65,-0.7615,108868.96,2343803.678
300760.SZ,20251103,215.03,216.38,211.5,212.01,215.04,-3.03,-1.409,93440.35,1986531.361
300760.SZ,20251104,211.5,212.88,205.05,207.0,212.01,-5.01,-2.3631,126052.54,2622502.209
300760.SZ,20251105,205.11,208.97,204.55,206.27,207.0,-0.73,-0.3527,74890.28,1551641.928
300760.SZ,20251106,206.7,207.89,205.73,206.35,206.27,0.08,0.0388,60461.4,1250529.177
300760.SZ,20251107,206.23,207.27,204.55,205.79,206.35,-0.56,-0.2714,59247.26,1219514.252
300760.SZ,20251110,205.5,209.65,205.05,209.35,205.79,3.56,1.7299,81960.14,1703133.877
300760.SZ,20251111,208.8,209.6,207.0,208.7,209.35,-0.65,-0.3105,60990.34,1269951.881
300760.SZ,20251112,207.79,210.88,207.79,208.2,207.35,0.85,0.4099,74925.87,1571625.808
300760.SZ,20251113,208.58,209.19,207.21,208.21,208.2,0.01,0.0048,57089.83,1187586.307
300760.SZ,20251114,207.5,209.67,207.2,207.7,208.21,-0.51,-0.2449,51736.89,1080135.957
300760.SZ,20251117,207.0,207.56,205.8,206.04,207.7,-1.66,-0.7992,45309.36,934167.629
300760.SZ,20251118,206.0,206.85,205.56,206.71,206.04,0.67,0.3252,39737.86,819165.198
300760.SZ,20251119,206.72,207.25,204.81,204.81,206.71,-1.9,-0.9192,50729.02,1043110.57
300760.SZ,20251120,204.8,205.38,198.01,198.85,204.81,-5.96,-2.91,106077.18,2125929.779
300760.SZ,20251121,197.99,199.57,193.68,195.11,198.85,-3.74,-1.8808,97875.93,1918216.284
300760.SZ,20251124,195.11,197.0,192.25,193.0,195.11,-2.11,-1.0814,65134.79,1265281.317
300760.SZ,20251125,193.75,195.22,192.75,193.88,193.0,0.88,0.456,59671.45,1157044.916
300760.SZ,20251126,193.96,194.9,192.68,193.4,193.88,-0.48,-0.2476,60768.83,1176347.908
300760.SZ,20251127,193.39,197.75,191.78,196.3,193.4,2.9,1.4995,71969.72,1404717.501
300760.SZ,20251128,199.0,204.5,198.71,204.01,196.3,7.71,3.9277,117760.89,2378087.621
300760.SZ,20251201,204.0,204.0,200.5,201.62,204.01,-2.39,-1.1715,58860.38,1185132.545
300760.SZ,20251202,201.0,202.24,200.2,200.62,201.62,-1.0,-0.496,42517.96,855263.688
300760.SZ,20251203,200.62,201.07,198.31,199.5,200.62,-1.12,-0.5583,44689.66,892968.122
300760.SZ,20251204,200.0,201.99,199.68,200.0,199.5,0.5,0.2506,36312.02,728550.136
300760.SZ,20251205,200.05,202.88,199.3,202.39,200.0,2.39,1.195,44732.59,898941.166
300760.SZ,20251208,202.39,204.75,200.02,200.05,202.39,-2.34,-1.1562,61071.54,1233828.999
300760.SZ,20251209,200.0,203.49,198.03,198.71,200.05,-1.34,-0.6698,57404.02,1147924.114
300760.SZ,20251210,197.75,198.45,195.85,198.0,198.71,-0.71,-0.3573,51344.63,1012919.769
300760.SZ,20251211,198.0,198.69,195.77,195.77,198.0,-2.23,-1.1263,56728.46,1116988.941
300760.SZ,20251212,195.75,200.75,194.51,199.82,195.77,4.05,2.0688,112033.42,2222511.006
300760.SZ,20251215,199.64,200.0,197.01,197.01,199.82,-2.81,-1.4063,49455.01,982059.614
300760.SZ,20251216,197.03,198.98,194.81,194.81,197.01,-2.2,-1.1167,51519.33,1008042.443
300760.SZ,20251217,194.8,197.84,193.47,196.36,194.81,1.55,0.7956,57774.55,1128723.675
