ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601138.SH,20251020,62.0,63.82,61.07,62.06,60.01,2.05,3.4161,1450022.86,9053010.272
601138.SH,20251021,62.94,68.19,62.42,68.0,62.06,5.94,9.5714,2522877.66,16620319.08
601138.SH,20251022,66.99,67.0,64.5,65.46,68.0,-2.54,-3.7353,1671916.86,11014894.22
601138.SH,20251023,64.8,65.02,62.7,63.99,65.46,-1.47,-2.2456,1110253.37,7078123.496
601138.SH,20251024,65.18,67.7,64.06,67.25,63.99,3.26,5.0945,1790207.74,11869082.164
601138.SH,20251027,69.26,73.58,69.26,72.76,67.25,5.51,8.1933,2348792.42,16679873.611
601138.SH,20251028,71.18,75.76,71.05,73.99,72.76,1.23,1.6905,2028041.99,14958411.164
601138.SH,20251029,78.12,81.39,77.9,80.8,73.99,6.81,9.2039,1991939.19,15896272.624
601138.SH,20251030,80.0,83.88,77.7,77.97,80.8,-2.83,-3.5025,2408909.5,19314782.838
601138.SH,20251031,77.95,78.67,71.5,72.0,77.97,-5.97,-7.6568,2462986.64,18180679.395
601138.SH,20251103,70.36,76.0,70.21,74.89,72.0,2.89,4.0139,2143326.27,15719905.804
601138.SH,20251104,74.77,75.2,72.47,73.49,74.89,-1.4,-1.8694,1312357.53,9664880.743
601138.SH,20251105,70.31,75.8,69.87,75.24,73.49,1.75,2.3813,1672507.15,12189758.182
601138.SH,20251106,75.24,76.7,74.1,76.22,75.24,0.98,1.3025,1724828.97,13036723.386
601138.SH,20251107,74.07,74.5,71.63,72.7,76.22,-3.52,-4.6182,1585420.19,11558342.729
601138.SH,20251110,72.0,72.21,68.0,71.5,72.7,-1.2,-1.6506,2122825.59,14784377.56
601138.SH,20251111,72.0,72.06,68.0,68.03,71.5,-3.47,-4.8531,1409352.64,9758753.282
601138.SH,20251112,66.45,69.55,65.66,68.6,68.03,0.57,0.8379,1369681.8,9283976.951
601138.SH,20251113,67.58,68.87,66.19,67.99,68.6,-0.61,-0.8892,1216655.89,8199301.373
601138.SH,20251114,65.8,66.49,64.26,64.27,67.99,-3.72,-5.4714,1550451.96,10095924.261
601138.SH,20251117,64.39,66.49,64.32,64.94,64.27,0.67,1.0425,1162680.89,7593007.713
601138.SH,20251118,63.65,66.5,63.2,64.72,64.94,-0.22,-0.3388,1146975.38,7466283.351
601138.SH,20251119,64.5,66.62,64.2,65.06,64.72,0.34,0.5253,1456366.42,9533078.295
601138.SH,20251120,68.06,68.33,65.0,65.94,65.06,0.88,1.3526,1421753.76,9427698.402
601138.SH,20251121,63.05,63.45,60.08,60.67,65.94,-5.27,-7.9921,1902893.43,11707877.589
601138.SH,20251124,61.0,61.8,54.6,55.94,60.67,-4.73,-7.7963,3320090.71,18723572.081
601138.SH,20251125,56.36,58.34,56.16,56.61,55.94,0.67,1.1977,2262144.44,12916587.348
601138.SH,20251126,55.31,61.1,55.02,58.93,56.61,2.32,4.0982,2812842.86,16345298.899
601138.SH,20251127,60.02,63.45,59.91,60.27,58.93,1.34,2.2739,2758874.64,17029728.373
601138.SH,20251128,60.24,60.76,59.02,60.72,60.27,0.45,0.7466,1667787.85,10007823.545
